course_name,level,level/_source,course_num/_text,course_name/_source,course_num/_source,level/_text,course_name/_text,course_num
http://ocw.mit.edu/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012,http://ocw.mit.edu/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012,/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012,11.309J,/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012,/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012,Graduate,Sensing Place: Photography as Inquiry,http://ocw.mit.edu/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012
http://ocw.mit.edu/courses/architecture/4-241j-theory-of-city-form-spring-2013,http://ocw.mit.edu/courses/architecture/4-241j-theory-of-city-form-spring-2013,/courses/architecture/4-241j-theory-of-city-form-spring-2013,11.330J,/courses/architecture/4-241j-theory-of-city-form-spring-2013,/courses/architecture/4-241j-theory-of-city-form-spring-2013,Graduate,Theory of City Form,http://ocw.mit.edu/courses/architecture/4-241j-theory-of-city-form-spring-2013
http://ocw.mit.edu/courses/urban-studies-and-planning/11-941-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-i-fall-2003,http://ocw.mit.edu/courses/urban-studies-and-planning/11-941-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-i-fall-2003,/courses/urban-studies-and-planning/11-941-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-i-fall-2003,11.941,/courses/urban-studies-and-planning/11-941-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-i-fall-2003,/courses/urban-studies-and-planning/11-941-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-i-fall-2003,Graduate,"Use of Joint Fact Finding in Science Intensive Policy Disputes, Part I",http://ocw.mit.edu/courses/urban-studies-and-planning/11-941-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-i-fall-2003
http://ocw.mit.edu/courses/urban-studies-and-planning/11-945-springfield-studio-fall-2005,http://ocw.mit.edu/courses/urban-studies-and-planning/11-945-springfield-studio-fall-2005,/courses/urban-studies-and-planning/11-945-springfield-studio-fall-2005,11.945,/courses/urban-studies-and-planning/11-945-springfield-studio-fall-2005,/courses/urban-studies-and-planning/11-945-springfield-studio-fall-2005,Graduate,Springfield Studio,http://ocw.mit.edu/courses/urban-studies-and-planning/11-945-springfield-studio-fall-2005
http://ocw.mit.edu/courses/urban-studies-and-planning/11-948-the-politics-of-reconstructing-iraq-spring-2005,http://ocw.mit.edu/courses/urban-studies-and-planning/11-948-the-politics-of-reconstructing-iraq-spring-2005,/courses/urban-studies-and-planning/11-948-the-politics-of-reconstructing-iraq-spring-2005,11.948,/courses/urban-studies-and-planning/11-948-the-politics-of-reconstructing-iraq-spring-2005,/courses/urban-studies-and-planning/11-948-the-politics-of-reconstructing-iraq-spring-2005,Graduate,The Politics of Reconstructing Iraq,http://ocw.mit.edu/courses/urban-studies-and-planning/11-948-the-politics-of-reconstructing-iraq-spring-2005
http://ocw.mit.edu/courses/urban-studies-and-planning/11-949-city-visions-past-and-future-spring-2004,http://ocw.mit.edu/courses/urban-studies-and-planning/11-949-city-visions-past-and-future-spring-2004,/courses/urban-studies-and-planning/11-949-city-visions-past-and-future-spring-2004,11.949,/courses/urban-studies-and-planning/11-949-city-visions-past-and-future-spring-2004,/courses/urban-studies-and-planning/11-949-city-visions-past-and-future-spring-2004,Graduate,City Visions: Past and Future,http://ocw.mit.edu/courses/urban-studies-and-planning/11-949-city-visions-past-and-future-spring-2004
http://ocw.mit.edu/courses/urban-studies-and-planning/11-954-community-owned-enterprise-and-civic-participation-spring-2005,http://ocw.mit.edu/courses/urban-studies-and-planning/11-954-community-owned-enterprise-and-civic-participation-spring-2005,/courses/urban-studies-and-planning/11-954-community-owned-enterprise-and-civic-participation-spring-2005,11.954,/courses/urban-studies-and-planning/11-954-community-owned-enterprise-and-civic-participation-spring-2005,/courses/urban-studies-and-planning/11-954-community-owned-enterprise-and-civic-participation-spring-2005,Graduate,Community-Owned Enterprise and Civic Participation,http://ocw.mit.edu/courses/urban-studies-and-planning/11-954-community-owned-enterprise-and-civic-participation-spring-2005
http://ocw.mit.edu/courses/urban-studies-and-planning/11-965-reflective-practice-an-approach-for-expanding-your-learning-frontiers-january-iap-2007,http://ocw.mit.edu/courses/urban-studies-and-planning/11-965-reflective-practice-an-approach-for-expanding-your-learning-frontiers-january-iap-2007,/courses/urban-studies-and-planning/11-965-reflective-practice-an-approach-for-expanding-your-learning-frontiers-january-iap-2007,11.965,/courses/urban-studies-and-planning/11-965-reflective-practice-an-approach-for-expanding-your-learning-frontiers-january-iap-2007,/courses/urban-studies-and-planning/11-965-reflective-practice-an-approach-for-expanding-your-learning-frontiers-january-iap-2007,Graduate,Reflective Practice: An Approach for Expanding Your Learning Frontiers,http://ocw.mit.edu/courses/urban-studies-and-planning/11-965-reflective-practice-an-approach-for-expanding-your-learning-frontiers-january-iap-2007
http://ocw.mit.edu/courses/urban-studies-and-planning/11-969-workshop-on-deliberative-democracy-and-dispute-resolution-summer-2005,http://ocw.mit.edu/courses/urban-studies-and-planning/11-969-workshop-on-deliberative-democracy-and-dispute-resolution-summer-2005,/courses/urban-studies-and-planning/11-969-workshop-on-deliberative-democracy-and-dispute-resolution-summer-2005,11.969,/courses/urban-studies-and-planning/11-969-workshop-on-deliberative-democracy-and-dispute-resolution-summer-2005,/courses/urban-studies-and-planning/11-969-workshop-on-deliberative-democracy-and-dispute-resolution-summer-2005,Graduate,Workshop on Deliberative Democracy and Dispute Resolution,http://ocw.mit.edu/courses/urban-studies-and-planning/11-969-workshop-on-deliberative-democracy-and-dispute-resolution-summer-2005
http://ocw.mit.edu/courses/literature/21l-448j-darwin-and-design-fall-2010,http://ocw.mit.edu/courses/literature/21l-448j-darwin-and-design-fall-2010,/courses/literature/21l-448j-darwin-and-design-fall-2010,21W.739J,/courses/literature/21l-448j-darwin-and-design-fall-2010,/courses/literature/21l-448j-darwin-and-design-fall-2010,Undergraduate,Darwin and Design,http://ocw.mit.edu/courses/literature/21l-448j-darwin-and-design-fall-2010
